sku,original_name,original_material,proposed_brand,proposed_colour,proposed_material,proposed_name,size,certifications
VEG-SPC-5,Vegware Dome PLA Cold Lid (Fits 115 Series) Recyclable/Compostable,"pla, pp",Vegware,,PLA,Dome Cold Lid (Fits 115 Series),"",""
VEG-SPC-6,Vegware Dome PLA Cold Lid (fits 90 Series) Recyclable/Compostable,pla,Vegware,,PLA,Dome Cold Lid (fits 90 Series),"",""
VEG-SPC-7,Vegware Flat CPLA Opaque Hot Lid (Fits 115 Series) Recyclable/Compostable,"",Vegware,,CPLA,Flat Opaque Hot Lid (Fits 115 Series),"",""
VEG-SPC-9,Vegware Flat CPLA Opaque Hot Lid (Fits 90 Series) Recyclable/Compostable,"",Vegware,,CPLA,Flat Opaque Hot Lid (Fits 90 Series),"",""
VEG-SPC-4,Vegware Flat PLA Cold Lid (Fits 115 Series) Recyclable/Compostable,"",Vegware,,PLA,Flat Cold Lid (Fits 115 Series),"",""
VEG-SPC-3,Vegware Flat PLA Cold Lid (Fits 90 Series) Compostable,"",Vegware,,PLA,Flat Cold Lid (Fits 90 Series),"",""
VEG-BOX,Vegware Large Carry Pack Compostable (Case of 125),pla,Vegware,,,Large Carry Pack,"",Compostable
VEG-BOX-5-4,Vegware No 2 Food Carton 19.5 x 14 x 5cm Compostable (Case of 200),"",Vegware,,,No 2 Food Carton,1500mm,""
VEG-DEL-4-2,Vegware No 2 PLA Sushi Combo 17.5 x 12.5 x 4cm Compostable (Case of 300),pla,Vegware,,PLA,No 2 Sushi Combo,"",Compostable
VEG-BOX-5-3,Vegware No 3 Food Carton 19.5 x 14 x 6.5cm Compostable (Case of 180),"",Vegware,,,No 3 Food Carton,1800ml,""
VEG-DEL-4,Vegware No 4 PLA Sushi Combo 24.5 x 15 x 4cm Compostable (Case of 300),pla,Vegware,,PLA,No 4 Sushi Combo,"",Compostable
VEG-BOX-5-2,Vegware No 5 Food Carton 15.2 x 12.1 x 5cm Compostable (Case of 150),"",Vegware,,,No 5 Food Carton,1050ml,""
VEG-DEL-DL,"Vegware PLA Dome Lid, NO HOLE (Fits 96 Series) Compostable",pla,Vegware,,PLA,"Dome Lid, NO HOLE (Fits 96 Series)","",Compostable
VEG-DEL-FL,"Vegware PLA Flat Lid, NO HOLE (Fits 96 Series) Compostable",pla,Vegware,,PLA,"Flat Lid, NO HOLE (Fits 96 Series)","",Compostable
VEG-BWL-KR,"Vegware PLA Lined Kraft Paper Lid with Vents, 185 Series Compostable","kraft, paper, pla, pet, pp",Vegware,,Kraft,"Lined Lid with Vents, 185 Series","",Compostable
VEG-BWL,"Vegware PLA Lined Paper Lid with Vents, 185 Series Compostable","paper, pla, pet, pp",Vegware,,PLA,"Lined Lid with Vents, 185 Series","",Compostable
VEG-POT-1-2,Vegware PLA Portion Pot Lid (fits 0.5-1oz pot) Compostable,"",Vegware,,PLA,Portion Pot Lid (fits 0. pot),1oz,""
VEG-POT-4-3,Vegware PLA Portion Pot Lid (fits 2-4oz pot) Compostable,"",Vegware,,PLA,Portion Pot Lid (fits pot),4oz,""
VEG-DEL-RD-32-2,Vegware PLA Round Deli Outside-Fit Lid (Fits 8-32oz Deli) Compostable,"pla, plastic",Vegware,,PLA,Round Deli Outside-Fit Lid (Fits Deli),32oz,""
VEG-CNT-RC-BK,Vegware Rectangular Black Paper Lid – Compostable,paper,Vegware,Black,Paper,Rectangular Lid,"",Compostable
VEG-BWL-RD-BK,"Vegware Round Kraft Black Paper Lid, 150-Series Compostable","paper, pla",Vegware,Black,Kraft,"Round Lid, 150-Series","",Recyclable
VEG-BWL-RD-KR,Vegware Round Kraft Paper Lid (Case of 300),"kraft, paper, pla, plastic",Vegware,,Kraft,Round Lid,"",Compostable
